LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,Order Qty.
C13585,CL31A106KBHNNNE,Samsung Electro-Mechanics,1206,50V 10uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,25
C14663,CC0603KRX7R9BB104,YAGEO,0603,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,10
C316054,0603ESDA-05N,BORN,0603,50V 5V Bi-Directional 0603  ESD Protection Devices ROHS,15
C524055,HIR67-21C/L289/TR8,Everlight Elec,SMD3528,SMD3528  Infrared (IR) LEDs ROHS,10
C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,5A 1 16 Female Type-C SMD  USB Connectors ROHS,5
C2150,SS8050,"Jiangsu Changjing Electronics Technology Co., Ltd.",SOT-23-3,"100nA 25V 300mW 200@100mA,1V 1.5A 100MHz 500mV@800mA,80mA NPN +150℃@(Tj) SOT-23-3  Bipolar Transistors - BJT ROHS",10
C414015,2N7002K,MDD（Microdiode Electronics）,SOT-23,"60V 500mA 900mΩ@10V,500mA 300mW 1.6V@250uA 1.5pF@30V N Channel 23.8pF@30V 930pC@10V +150℃@(Tj) SOT-23  MOSFETs ROHS",5
C25804,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 10kΩ 0603  Chip Resistor - Surface Mount ROHS,45
C23186,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% -55℃~+155℃ 5.1kΩ 0603  Chip Resistor - Surface Mount ROHS,15
C22775,0603WAF1000T5E,UNI-ROYAL(Uniroyal Elec),0603,100mW Thick Film Resistors 75V ±1% ±200ppm/℃ -55℃~+155℃ 100Ω 0603  Chip Resistor - Surface Mount ROHS,5
C144495,AC1206FR-0733RL,YAGEO,1206,250mW Thick Film Resistors 200V ±100ppm/℃ ±1% -55℃~+155℃ 33Ω 1206  Chip Resistor - Surface Mount ROHS,5
C202388,SKRKAHE020,ALPSALPINE,SMD,2.9mm 2mm Round Button 50mA Brick nogging 3.9mm SPST 12V SMD  Tactile Switches ROHS,5
C82891,ESP-12F(ESP8266MOD),Ai-Thinker,"SMD,16x24mm","-90dBm 16dBm ESP8266 PCB On Board Antenna 2.4GHz SMD,16x24mm  WiFi Modules ROHS",5
C51118,AP2112K-3.3TRG1,Diodes Incorporated,SOT-25-5,"65dB@(100Hz,1kHz) 600mA 400mV@(600mA) Fixed 3.3V~3.3V Positive 1 6V SOT-25-5  Linear Voltage Regulators (LDO) ROHS",5
C969151,CP2102N-A02-GQFN24R,SILICON LABS,QFN-24-EP(4x4),QFN-24-EP(4x4)  USB ICs ROHS,5
C511392,TSMP58000,Vishay Intertech,SIP-3P-2.54mm,1.8m ±45° -25℃~+85℃ 700uA 2.5V~5.5V SIP-3P-2.54mm  Infrared remote receiver ROHS,5
